title, genre, comment
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",이 영화가 왜 9점대일거라고 생각하냐 망무새들아
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",상황에 맞게 배치된 음악에 놀라고감탄 !
"무현, 두 도시 이야기",다큐멘터리,부모님 크리스마스때 보여드렸는데 너무 좋아 하셨어요 굳굳
행복,"드라마,멜로/애정/로맨스",사람은 쉽게 안 변하는구나
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",이제 죽어도 여한이 없음 내 삶을 애니메이션이 불을 짚혀 줄줄이야 살면서 평점이란걸 처음 써본다
다이빙벨,다큐멘터리,닥그네와 그 부역자들 모두 사형!!!
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",기분이 이상할때쯤 이영화를 찾아보니깐 진짜 오랜만에 애니로 감동먹었네요 제인생 영화애니가 아닐까 합니다
판도라,"드라마,스릴러",감동적인 영화에요 또 보고싶은 생각이 듭니다 .
로그 원: 스타워즈 스토리,"액션,모험,판타지,SF",스타워즈를 다시 정주행하게 만드는 작품
마스터,"액션,범죄",뻔하지만 나름 재미있어요
루돌프와 많이있어,애니메이션,아이랑봤는데 조금 슬퍼요ㅜㅜ
씽,"뮤지컬,애니메이션",새해영화로 적합하네요 재미있고 즐거우면서도 희망적인영화입니다
로그 원: 스타워즈 스토리,"액션,모험,판타지,SF",살아남지 못했지만 살아난것보다 더 큰 울림
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",영상미가 정말 좋았어요
마스터,"액션,범죄",혼자가서 보긴했는데 재미있어요!^^
"당신, 거기 있어줄래요","판타지,드라마",진짜레전드..보는내내 슬픔과 미묘한감정이 왔다갔다했습니다. 몇년후 다시한번꼭보고싶은영화 내머리속의지우개 볼때와비슷한 먹먹한 감정이들었습니다 강추
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",미츠하 예쁘고 귀엽고 귀여워요
판도라,"드라마,스릴러",감동적이에요.여얼자
마스터,"액션,범죄",전반적으로 예상가능한 내용인데 반전은 이병헌 필리핀 영어다. ㅋㅋ 겁나 잘함
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",너무너무잘봤습니다 여운남는 영화
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",영화 중반부터 내내울다가 영화끝나고 박수쳐본건 이영화가 처음이였다.
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스","기대 이상의 영화. 이상하게 여운이 남는 영화,"
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",재밌고 좋다 너무노무노머노마
"당신, 거기 있어줄래요","판타지,드라마",인생에서 애틋하게 보고 싶은 사람이 있다면 - 공감 vs 보고 싶은 사람이 없다면 - 비공감
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",그동안 신카이 마코토의 작품들은 그림체는 훌륭했으나 내용이 뭔가 부족했다. 이 영화는 내용까지 훌륭하다.
"당신, 거기 있어줄래요","판타지,드라마","세월의 흐름속 삶엔 다 그런 의미가 있나 봅니다. 감명 깊게 봤습니다만 굳이 해피엔딩이 아니였어도 수림장 하신 화면으로 컷해도 여운이 남았을겁니다. ""지나간 것은 지나간 대로 그런 의미가 있죠"""
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",띵작이다... 말이 피료없다..
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",[스포일러를 한놈을 죽이고싶다 생각한 첫 영화]. 미개한놈이 감상평으로 스포일러 한것때문에 아...볼까말까 갈등까지 했지만 그딴 쓰1레기들의 스포에도 불구하고 이번작품은 진짜 초속 5cm와 언어의정원을 뛰어넘는다. 이전작들을 넘어서는 작품입니다!
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",걍 보는것을 강추한다 정말로
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",와 인생 애니는 강철의 연금술사라고 생각했는데 와 진짜 와 미쳤다 이건 꼭 보러가라 친구들과 함께든 혼자든 연인이든 보고나면 머리를 몇 대 맞은것 같은 여운이 남는다.. 아직도.
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",최고의 영화 2번봤네요
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",즐겁게 보았는데 서로의 몸이 체인지가 되어 자기가 어디인지 무엇을 하는건지 등등... 참 혼란스러울뻔햇으나 감동적이었습니다
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",영화관가서 다시보고싶다ㅠㅠ
패신저스,"모험,SF",재미있게 잘봤습니다 수고
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",가슴이 따듯해지는 영화였네요
마스터,"액션,범죄",영화가 길어서 중간에 조금 지루한 감이 있지만 역시 배우들이 연기를 다들 잘해서 끝까지 잘보고 나왔습니다
"당신, 거기 있어줄래요","판타지,드라마",잠시 현실의 짐과 스트레스 놓고 보게되었다 괜찮게 보았다 순수한사랑 한번의 결실 그리고 쭉 평생을 가는 사랑과 우정의 중요성
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",초속 5센티미터보다 빠르다..훨씬
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",영상이랑 음악이 너무 좋음. 스토리도 좋고 개연성도 있고. 고민중이면 꼭 보시길
"당신, 거기 있어줄래요","판타지,드라마",내 인생영화. 한번 더 봐야지
사랑하기 때문에,"코미디,멜로/애정/로맨스",차태현 서현진 김유정 연기 볼만함 유머와 슬픔이 잘 버무려진 영화임 그리고 여자들은 거진 울더라
판도라,"드라마,스릴러",그렁그렁-또르르르-흡!-줄줄
라라랜드,"드라마,뮤지컬,멜로/애정/로맨스",내 인생영화 1위ㅠㅠ 취향저격 제대로 당해서 세번째 보는 중임 앞으로 더 볼생각일정도
패신저스,"모험,SF",자 이제 어쎄신크리스 보러갑시다
부산행,"액션,스릴러",오 필승 코리아 오 필승 코리아
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",지나친 급전개와 치밀하지 못한 감정 묘사가 단점이지만 그 단점을 충분히 가릴 정도로 잘 만든 훌륭한 영화이다.
변호인,드라마,국가는 국민이다. 국가의 힘은 국민으로부터 나온다. 국민을 지키지 못하는 국가는 국가가 아니다. 잘못된 점은 바로 잡아야 한다. 진실은 침몰하지 않는다
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",마지막 장면이 인상 깊었던 영화였습니다.
마스터,"액션,범죄",재밋엇는데 마지막이허무
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",재미있었습니다 재미있었습니다
잭 리처: 네버 고 백,"액션,범죄,드라마,미스터리,스릴러",액션은 확실이 전편보다 나았음. 부녀지간 이야기가 빠졌으면 좋았을텐데 그게 하나 아쉽다. 딸내미 발암...
로그 원: 스타워즈 스토리,"액션,모험,판타지,SF",스타워즈 스토리를 안 봣는데도 지밋네요
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",...영화를 보며 오랫만에 느껴보는 따뜻함!!너무좋당~
베테랑,"액션,드라마",액션신도 시원하게 잘 찍었고 조연배우들의 연기가 볼만했다.마지막 서울도심에서 찍은 액션신은 신기하기도 하고 한국영화의 발전되는 모습을 보여주는것 같아 좋았어요.
씽,"뮤지컬,애니메이션",방학인데 아이들과 가족영화로 좋은듯요
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",역대급 애니인거 인정?
투사부일체,"코미디,액션",지들 수준이 OOO기니 코믹영화에서 고수준 원하겠지ㅋㅋ 이런거까면 있어보이고
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",신카이마코토감독의 인생작
판도라,"드라마,스릴러",판도라보고 내가 이렇게 피도  눈물도 없는사람인가라고 느낌
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",재밌습니다ㄷ.ㄷ.ㄷ.ㄷ.ㄷ.ㄷ
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",작화랑 스토리 모두 만족
패신저스,"모험,SF","볼만했음. 여배우 매력적임. 그래비티나 마스 정도, 혹은 조금 더 그 이상의 재미임."
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",끝내준다 딱네글자면 끝
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",정말 재밌습니다.볼수록 시간가는 줄 모릅니다.
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",정말 재밌는 영화인거 같다
가려진 시간,"드라마,판타지",소년으로돌아가고십지만 못돌아가는 ㅠㅠ‥ 난되게 안되게 봤는데?‥
판도라,"드라마,스릴러","재단안전대책과 지진, 원자로 건설/유지에 대한 경각심을 주는 영화 그래픽도 훌륭한 편이었고 몰입도도 좋았으나 전개 부분에서 약간의 오글거림은 아쉬운 부분. 안구건조엔 좋아요 ㅋ"
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",대박 작품이다 영상미 스토리 다 최고
사랑하기 때문에,"코미디,멜로/애정/로맨스","가족, 연인과 함께보기 너무좋아요!"
로그 원: 스타워즈 스토리,"액션,모험,판타지,SF",다시는 볼수없는 레아공주의 모습그렇게 시작된 반군들의 반격
마스터,"액션,범죄",믿고보는 배우들의 연기 훈남 트리오! !
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",역시 일본은 영화보다 애니를 잘만들어 애니처럼 영화 만들었음 대박칠텐데..
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",작화 ost 연출 전부다 최고였다 ㅜ
눈의 여왕3: 눈과 불의 마법대결,"애니메이션,모험,가족,판타지","8살 6살 남자아이,여자아이가 그동안 봤던 영화중에서 가장 재미있는 영화라고 하네요.그동안 아이들과 에니메이션영화를 보러가면 사실 엄마인 저는 중간중간 지루했었는데, 이번 영화는 지루할틈없이, 빠르게 지나간것같아요.아이들과 즐거운 방학의 하루"
신비한 동물사전,"판타지,모험",오랫만에 본 마법세계 너무 좋았다
